event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
USA36316,"26 October 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States",Virginia,Arlington,,Arlington,38.8802,-77.1063,1,"Washington Examiner",National,"On 26 October 2021, several people demonstrated outside of a campaign rally for Democratic candidate Terry McAuliffe in Arlington (Virginia) in support of former President Trump with signs reading 'Stop the Steal' and 'Let's Go Brandon.' 'Let's Go Brandon' is a slogan used as a euphemism for 'Fuck Joe Biden.'",0,"crowd size=several; stop the steal",1680633599
USA30336,"19 May 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","GOP: Republican Party; Government of the United States (2021-2025)",Protesters,,,,"Protesters only",,840,"North America","United States",Georgia,Fulton,,Atlanta,33.7559,-84.3898,1,"Facebook; MilitiaWatch","Local partner-New media","On 19 May 2021, Georgia Representative Vernon Jones held a press conference and demonstration in Liberty Plaza in Atlanta (Georgia), where he and the crowd of protesters called for a 'forensic audit' of the 2020 election result in Georgia to 'stop the steal.'",0,"crowd size=no report; stop the steal",1737495613
USA29771,"15 May 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","GOP: Republican Party; Government of the United States (2021-2025); QAnon; UADF: United American Defense Force",Protesters,,,,"Protesters only",,840,"North America","United States",Colorado,Denver,,Denver,39.7392,-104.991,1,"Colorado Times Recorder; Denver Gazette",Subnational,"On 15 May 2021, about 100 people, including QAnon supporters and Colorado state representative Tonya Van Beber, with organization from Colorado Rising Up, gathered outside the Colorado State Capitol in Denver (Colorado) for a 'Worldwide Rally for Freedom,' demonstrating against vaccines and mask mandates aimed at stopping the spread of the coronavirus pandemic. Also present were a dozen or so members of the United American Defense Force, the armed militia wing of Faith, Education, and Commerce (FEC), though they were armed only with collapsible batons. Some attendees also wore hats reading 'Stop the Steal,' referring to the belief that Donald Trump won the 2020 election.",0,"crowd size=about 100; stop the steal",1737495612
USA34301,"17 April 2021",2021,1,"Strategic developments","Strategic developments",Arrests,"Police Forces of the United States (2021-2025) Federal Bureau of Investigation","Police Forces of the United States (2021-2025) Bureau of Alcohol, Tobacco, Firearms and Explosives","State forces","Boogaloo Boys",,"Political militia","State forces-Political militia",,840,"North America","United States",Minnesota,Stearns,,"Saint Cloud",45.5608,-94.1625,1,"Anti-Defamation League; WCCO Channel 4",Subnational-National,"On 17 April 2021, federal authorities with the FBI and ATF arrested a Boogaloo Boy in Saint Cloud (Minnesota) after he allegedly told a confidential informant he was planning to attack law enforcement officers. The suspect was charged with 'illegal possession of a machine gun.' Allegedly, the suspect conducted 'surveillance' at a December Stop the Steal rally in Saint Paul where he 'scouted police numbers, overwatch positions and streets blocked by law enforcement.'",0,,1737495616
USA27344,"27 March 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","QAnon; Save Our Children",Protesters,,,,"Protesters only",,840,"North America","United States",California,"Los Angeles",,"Los Angeles",34.0433,-118.2495,1,"Twitter; Crowd Counting Consortium","Other-New media","On 27 March 2021, about 100 people staged a 'Save Our Children' rally in Los Angeles (California) in support of QAnon and against child trafficking. Some rallied against the 2020 presidential election and in support of 'Stop the Steal' pro-Trump movement.",0,"crowd size=about 100; stop the steal",1680633604
USA25833,"04 March 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","GOP: Republican Party",Protesters,,,,"Protesters only",,840,"North America","United States",Nevada,"Carson City",,"Carson City",39.1634,-119.7649,1,"Fox5 (Las Vegas); Crowd Counting Consortium",Other-Subnational,"On 4 March 2021, about 40 people staged a 'Stop the Steal' rally outside the state Capitol in Carson City (Nevada) in support of former President Trump and against the 2020 presidential election results. Nevada Republican Party Chairman Michael McDonald attended.",0,"crowd size=about 40; stop the steal",1680633500
USA25236,"19 February 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States",Michigan,Kalamazoo,,Portage,42.2012,-85.58,1,"MLive; Crowd Counting Consortium",Other-Subnational,"On 19 February 2021, a small group of 10 protesters stood outside of the Pfizer building in Portage (Michigan) criticizing President Joe Biden and Governor Gretchen Whitmer for the efforts to speed up vaccine production and distribution during the coronavirus pandemic. Protesters shouted that they would not take the vaccine and one held a 'stop the steal' sign in support of former President Trump.",0,"crowd size=10; stop the steal",1680633500
USA22159,"27 January 2021",2021,1,"Strategic developments","Strategic developments",Arrests,"Police Forces of the United States (2021-2025)",,"State forces","Sole Perpetrator (United States)",,"Political militia","State forces-Political militia",,840,"North America","United States","District of Columbia","District of Columbia",,"Washington DC - Southwest",38.8743,-77.0204,1,"Liveuamap; Twitter; Washington Post","Local partner-New media","On 27 January 2021, a man from West Virginia was arrested at the Rayburn US House Office Building in Washington DC - Southwest (District of Columbia) for having a gun, 20 rounds of ammunition, 'stop the steal' paraphernalia, and a list of lawmakers.",0,,1737495609
USA21787,"16 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States",Nevada,"Carson City",,"Carson City",39.1634,-119.7649,1,"Channel 4 (Reno); Reno Gazette Journal",Subnational,"On 16 January 2021, about 30-40 people staged a 'Stop the Steal' rally near the state Capitol in Carson City (Nevada) in support of President Trump.",0,"crowd size=about 30-40; stop the steal",1680633500
USA21147,"11 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","ACLU: American Civil Liberties Union",Protesters,,,,"Protesters only",,840,"North America","United States",Texas,Travis,,Austin,30.2747,-97.7405,1,"KXAN; KVUE",Subnational,"On 11 January 2021, a group of activists, including members of the Texas Office of Public Citizen, the Texas Campaign for the Environment, and ACLU of Texas, gathered in Austin (Texas) to demand the resignation or impeachment of Attorney General Ken Paxton because Paxton has been involved in a number of controversies, including his support and leadership for the 'Stop the Steal' movement and a federal investigation into whether or not Paxton committed crimes such as bribery and abuse of office.",0,"crowd size=no report",1612546514
